18000,Wrouver,other,Organic,1/7/16,1/13/16,1/13/16,Toyota,Prius,2009.0,
18001,Berton,android web,Paid,1/28/16,1/28/16,2/1/16,Cadillac,CTS,2004.0,
18002,Strark,windows,Referral,1/7/16,1/9/16,1/14/16,Kia,Soul,2010.0,1/24/16
18003,Strark,other,Paid,1/16/16,,,,,,
18004,Strark,mac,Organic,1/18/16,2/17/16,,,,,
18005,Wrouver,ios web,Organic,1/25/16,,,,,,
18006,Strark,windows,Organic,1/25/16,2/1/16,2/1/16,Honda,Civic,2013.0,2/7/16
18007,Wrouver,ios web,Referral,1/5/16,1/8/16,1/9/16,Honda,Fit,2009.0,1/26/16
18008,Strark,android web,Referral,1/24/16,1/27/16,1/27/16,Kia,Sorento,2014.0,
18009,Strark,mac,Organic,1/28/16,1/28/16,,,,,
18010,Berton,android web,Referral,1/15/16,2/8/16,2/14/16,Toyota,Camry,2013.0,
18011,Berton,windows,Paid,1/25/16,2/2/16,,,,,
18012,Wrouver,windows,Paid,1/29/16,,,,,,
18013,Berton,mac,Organic,1/17/16,,,,,,
18014,Strark,ios web,Referral,1/27/16,1/27/16,,,,,
18015,Berton,android web,Referral,1/17/16,1/26/16,,,,,
18016,Strark,ios web,Paid,1/25/16,,,,,,
18017,Strark,android web,Paid,1/5/16,,,,,,
18018,Strark,ios web,Referral,1/26/16,2/5/16,,,,,
18019,Strark,windows,Organic,1/22/16,1/30/16,1/30/16,Chrysler,Town and Country,2013.0,2/8/16
18020,Berton,android web,Paid,1/28/16,1/29/16,,,,,
18021,Strark,windows,Paid,1/27/16,1/30/16,,,,,
18022,Berton,android web,Referral,1/11/16,1/11/16,1/11/16,Honda,Civic,2014.0,
18023,Berton,ios web,Referral,1/12/16,1/15/16,1/15/16,Lexus,ES,2014.0,1/17/16
18024,Strark,android web,Paid,1/9/16,1/17/16,,,,,
18025,Berton,ios web,Paid,1/5/16,,,,,,
18026,Strark,ios web,Referral,1/25/16,,,,,,
18027,Strark,ios web,Paid,1/29/16,2/15/16,,,,,
18028,Strark,android web,Organic,1/20/16,1/21/16,,,,,
18029,Strark,android web,Referral,1/16/16,1/18/16,,,,,
18030,Berton,,Organic,1/27/16,,,,,,
18031,Strark,ios web,Organic,1/27/16,2/18/16,,,,,
18032,Wrouver,mac,Paid,1/12/16,1/12/16,1/13/16,Toyota,Prius,2010.0,1/26/16
18033,Strark,ios web,Paid,1/5/16,1/5/16,,,,,
18034,Strark,windows,Referral,1/12/16,1/31/16,,,,,
18035,Berton,,Referral,1/11/16,1/29/16,,,,,
18036,Berton,windows,Referral,1/5/16,1/5/16,1/8/16,Infiniti,G Sedan,2006.0,1/9/16
18037,Berton,android web,Paid,1/26/16,,,,,,
18038,Berton,android web,Organic,1/7/16,1/27/16,,,,,
18039,Wrouver,ios web,Paid,1/27/16,1/29/16,1/29/16,Honda,Fit,2015.0,
18040,Strark,,Referral,1/1/16,,,,,,
18041,Berton,windows,Paid,1/6/16,1/7/16,1/7/16,Honda,Civic,2015.0,1/12/16
18042,Berton,windows,Referral,1/8/16,1/8/16,1/14/16,Honda,CR-V,2016.0,1/14/16
18043,Strark,other,Organic,1/15/16,2/6/16,,,,,
18044,Wrouver,windows,Paid,1/27/16,,,,,,
18045,Berton,windows,Paid,1/1/16,,,,,,
18046,Strark,ios web,Paid,1/14/16,2/9/16,,,,,
18047,Strark,ios web,Paid,1/29/16,2/12/16,,,,,
18048,Strark,ios web,Organic,1/29/16,2/20/16,2/15/16,Honda,CR-V,2014.0,2/26/16
18049,Berton,other,Referral,1/14/16,1/22/16,,,,,
18050,Berton,android web,Paid,1/3/16,1/18/16,1/31/16,Chrysler,300,2006.0,
18051,Strark,android web,Paid,1/25/16,,,,,,
18052,Berton,ios web,Organic,1/21/16,1/25/16,1/25/16,Cadillac,CTS,2007.0,2/7/16
18053,Strark,android web,Referral,1/4/16,1/15/16,1/15/16,BMW,3-series,2014.0,
18054,Strark,windows,Paid,1/11/16,1/12/16,,,,,
18055,Wrouver,windows,Paid,1/13/16,,,,,,
18056,Berton,ios web,Referral,1/30/16,1/30/16,1/30/16,Hyundai,Sonata,2011.0,
18057,Strark,android web,Organic,1/23/16,,,,,,
18058,Berton,ios web,Paid,1/20/16,1/28/16,,,,,
18059,Berton,android web,Paid,1/4/16,,,,,,
18060,Berton,mac,Referral,1/17/16,2/3/16,2/9/16,Ford,Focus,2014.0,2/11/16
18061,Strark,ios web,Paid,1/12/16,1/13/16,1/15/16,Scion,xB,2012.0,1/20/16
18062,Berton,ios web,Referral,1/2/16,,,,,,
18063,Strark,ios web,Paid,1/10/16,1/22/16,2/15/16,Chevrolet,Cruze,2011.0,
18064,Strark,android web,Organic,1/13/16,1/16/16,,,,,
18065,Berton,mac,Referral,1/20/16,1/31/16,,,,,
18066,Berton,ios web,Paid,1/30/16,1/30/16,,,,,
18067,Berton,mac,Paid,1/5/16,1/7/16,,,,,
18068,Strark,windows,Referral,1/2/16,1/7/16,1/16/16,Toyota,Sienna,2011.0,1/18/16
18069,Strark,android web,Paid,1/30/16,1/31/16,2/2/16,Ford,Focus,2015.0,2/4/16
18070,Wrouver,android web,Paid,1/20/16,1/29/16,,,,,
18071,Strark,android web,Paid,1/5/16,,,,,,
18072,Strark,android web,Paid,1/22/16,2/24/16,,,,,
18073,Wrouver,ios web,Paid,1/16/16,1/17/16,,,,,
18074,Strark,ios web,Organic,1/19/16,,,,,,
18075,Strark,,Organic,1/16/16,,,,,,
18076,Berton,windows,Referral,1/8/16,1/10/16,,,,,
18077,Strark,android web,Paid,1/3/16,,,,,,
18078,Strark,android web,Paid,1/1/16,1/11/16,,,,,
18079,Wrouver,ios web,Organic,1/14/16,2/3/16,,,,,
